Home_Page,Movie_Name,Genres,Overview,Cast,Original_Language,Storyline,Production_Company,Release_Date,Tagline,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes,Release_Country
https://www.imdb.com/title/tt5040012/,Nosferatu,"['Fantasy', 'Horror', 'Mystery']","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","['Lily-Rose Depp', 'Nicholas Hoult', 'Bill Skarsgård', 'Aaron Taylor-Johnson', 'Willem Dafoe', 'Emma Corrin', 'Ralph Ineson', 'Simon McBurney', 'Adéla Hesová', 'Milena Konstantinova', 'Stacy Thunes', 'Gregory Gudgeon', 'Robert Russell', 'Curtis Matthew', 'Claudiu Trandafir', 'Georgina Bereghianu', 'Jordan Haj', 'Katerina Bila']","['English', 'German', 'Romanian', 'Russian']","A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","['Focus Features', 'Maiden Voyage Pictures', 'Studio 8']",2024-12-25,Succumb to the darkness.,7.3,151K,$50.0M,$176.0M,132,United States
https://www.imdb.com/title/tt20221436/,Emilia Pérez,"['Comedy', 'Crime', 'Drama', 'Musical', 'Thriller']","Emilia Pérez follows three remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists unappreciated lawyer Rita to help fake her death so that she can finally live authentically as her true self.","['Zoe Saldaña', 'Karla Sofía Gascón', 'Selena Gomez', 'Adriana Paz', 'Edgar Ramírez', 'Mark Ivanir', 'Eduardo Aladro', 'Emiliano Hasan', 'Gaël Murguia-Fur', 'Tirso Pietriga', 'Xiomara Melissa Ahumada Quito', 'Magali Brito', 'Jarib dit Javier Zagoya Montiel', 'Sébastien Fruit', 'Alejandra Reyes', 'Anabel Lopez', 'Daniel Velasco-Acosta', 'James Gerard']","['Spanish', 'English']","In modern-day Mexico, overqualified and exploited lawyer Rita is wasting her talents working for a large firm which is far better at whitewashing criminal garbage than at serving justice. But an unexpected way out appears, the sort of offer that cannot be refused: to help feared cartel boss Juan ""Little Hands"" Del Monte--aka Manitas--retire from his business and disappear forever. Manitas has a plan he's been fine-tuning in secret for years: to become, at last, the woman he's always dreamed of becoming.","['Why Not Productions', 'Page 114', 'Pathé']",2024-11-13,Not_Found,5.5,71K,$27.3M,$15.0M,132,United States
https://www.imdb.com/title/tt8999762/,The Brutalist,['Drama'],"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client.","['Adrien Brody', 'Felicity Jones', 'Guy Pearce', 'Joe Alwyn', 'Raffey Cassidy', 'Stacy Martin', 'Isaach De Bankolé', 'Alessandro Nivola', 'Ariane Labed', 'Michael Epp', 'Emma Laird', 'Jonathan Hyde', 'Peter Polycarpou', 'Maria Sand', 'Salvatore Sansone', 'Zephan Hanson Amissah', 'Charlie Esoko', 'Levente Orbán']","['English', 'Hungarian', 'Italian', 'Hebrew', 'Yiddish']","When visionary architect László Toth and his wife Erzsébet flee Europe to rebuild their legacy and witness the birth of modern America, their lives are changed forever by a mysterious and wealthy client. The seemingly charming industrialist Harrison Van Buren offers László and his family the American Dream on a silver platter by commissioning him to design a grand modernist monument and help shape the landscape of the country he now calls home. It will be the most ambitious project of his career, one that will take László and Erzsébet to both monumental heights and devastating lows. —Ulf Kjell Gür","['Brookstreet Pictures', 'Kaplan Morrison', 'Intake Films']",2025-01-24,Welcome to America.,7.9,28K,$10.0M,$31.1M,214,Canada
https://www.imdb.com/title/tt27657135/,Saturday Night,"['Biography', 'Comedy', 'Drama', 'History']","At 11:30pm on October 11th, 1975, a ferocious troupe of young comedians and writers changed television forever. Find out what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live (1975).","['Gabriel LaBelle', 'Rachel Sennott', 'Cory Michael Smith', 'Ella Hunt', ""Dylan O'Brien"", 'Emily Fairn', 'Matt Wood', 'Lamorne Morris', 'Kim Matula', 'Finn Wolfhard', 'Colby James West', 'Nicholas Braun', 'Ellen Boscov', 'Stephen Badalamenti', 'Cooper Hoffman', 'Peter E Dawson', 'Andrew Barth Feldman', 'John Dinello']",['English'],"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television--and culture--forever. ""Saturday Night"" is based on the true story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live. Full of humor, chaos, and the magic of a revolution that almost wasn't, count down the minutes in real time until those famous words are uttered for the very first time. —Columbia Pictures","['Columbia Pictures', 'TSG Entertainment']",2024-10-11,"October 11, 1975, The First Saturday Night Live, 90 Minutes Until Air",7.0,26K,$25.0M,$10.0M,109,United States
https://www.imdb.com/title/tt17526714/,The Substance,"['Drama', 'Horror', 'Sci-Fi']","A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Daniel Knight', 'Jonathon Carley', 'Jiselle Henderkott', 'Akil Wingate', 'Billy Bentley', 'Vincent Colombe', 'Lennard Ridsdale', 'Jordan Ford Silver']",['English'],"Have you ever dreamed of a better version of yourself? You. Only better in every way. Seriously. You've got to try this new product. It's called the Substance. It changed my life. It generates another you. A new, younger, more beautiful, more perfect you. And there's only one rule: you share time. One week for you. One week for the new you. Seven days each. A perfect balance. Easy, right? If you respect the balance...what could possibly go wrong? —Festival Cannes","['Working Title Films', 'A Good Story', 'Blacksmith']",2024-09-20,"If you follow the instructions, what could go wrong?",7.3,249K,$17.5M,$77.0M,141,United States
https://www.imdb.com/title/tt14186672/,Landman,['Drama'],A modern-day tale of fortune seeking in the world of West Texas oil rigs.,"['Billy Bob Thornton', 'Ali Larter', 'Jacob Lofland', 'Michelle Randolph', 'Paulina Chávez', 'Kayla Wallace', 'Mark Collie', 'James Jordan', 'Demi Moore', 'Jon Hamm', 'Colm Feore', 'Mustafa Speaks', 'Mitchell Slaggert', 'Alex Meraz', 'J.R. Villarreal', 'Octavio Rodriguez', 'Ben Browder', 'Robyn Lively']","['English', 'Spanish']","Set in the proverbial boomtowns of West Texas, Landman is a modern-day tale of fortune seeking in the world of oil rigs. The series is an upstairs/downstairs story of roughnecks and wildcat billionaires fueling a boom so big, it's reshaping our climate, our economy and our geopolitics. —Denise Petski","['MTV Entertainment Studios', '101 Studios', 'Bosque Ranch Productions']",2024-11-17,Not_Found,8.2,42K,$0,$0,Unknown,United States
https://www.imdb.com/title/tt9218128/,Gladiator II,"['Action', 'Adventure', 'Drama']","After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.","['Paul Mescal', 'Denzel Washington', 'Pedro Pascal', 'Connie Nielsen', 'Joseph Quinn', 'Fred Hechinger', 'Lior Raz', 'Derek Jacobi', 'Peter Mensah', 'Matt Lucas', 'Alexander Karim', 'Yuval Gonen', 'Richard McCabe', 'Tim McInnerny', 'Alec Utgoff', 'Rory McCann', 'Yann Gael', 'Riana Duce']","['English', 'Latin']","Rome, circa 209 A.D. Sixteen years after the demise of Emperor Marcus Aurelius and Maximus Decimus Meridius in Gladiator (2000), the Roman Empire is now ruled by the tyrannical Emperors Caracalla and Geta. As tensions mount, an enslaved Numidian leader arrives in the city as a gladiator, putting allegiances to the test. No one knows who he is, but with sinister schemes threatening the Republic, can this humble defender restore Rome to its former glory? —Nick Riganas","['Paramount Pictures', 'Scott Free Productions', 'Red Wagon Films']",2024-11-22,Not_Found,6.6,199K,$250.0M,$461.9M,148,United States
https://www.imdb.com/title/tt30057084/,Babygirl,"['Drama', 'Romance', 'Thriller']",A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.,"['Nicole Kidman', 'Harris Dickinson', 'Antonio Banderas', 'Sophie Wilde', 'Esther McGregor', 'Vaughan Reilly', 'Victor Slezak', 'Leslie Silva', 'Gaite Jansen', 'Robert Farrior', 'Bartley Booz', 'Anoop Desai', 'Mary Ann Lamb', 'Gabrielle Policano', 'Gabriela Torres', 'Izabel Mar', ""Max O'Herlihy"", 'Michael Kirchmann']",['English'],"Romy, the head of a large company, accustomed to managing people, becomes the plaything of young intern Samuel. The rules are simple: she obeys all his orders, and he keeps her secret. But the passion that escapes outside the office threatens to destroy them both. —Tango Papa","['2AM', 'A24', 'Man Up Film']",2024-12-25,This Christmas get exactly what you want.,6.0,38K,$0,$60.9M,114,United States
https://www.imdb.com/title/tt26748649/,High Potential,"['Crime', 'Drama', 'Mystery']","Thanks to her exceptional mind, single-mom-of-three Morgan is able to help solve a crime as she rearranges evidence during her shift as a cleaner for the police department.","['Kaitlin Olson', 'Daniel Sunjata', 'Javicia Leslie', 'Deniz Akdeniz', 'Amirah J', 'Matthew Lamb', 'Judy Reyes', 'Taran Killam', 'JD Pardo', 'Garret Dillahunt', 'TJ Lee', 'Hudson Macready', 'Anthony Darrell', 'Domenick Lombardozzi', 'Jocko Sims', 'Ariella Amar', 'Derek Richardson', 'Nasim Pedrad']",['English'],"Thanks to her exceptional mind, single-mom-of-three Morgan is able to help solve a crime as she rearranges evidence during her shift as a cleaner for the police department.","['Goddard Textiles', 'Spondoolie Productions', 'ABC Signature']",2024-09-17,The new face of investigation.,7.6,18K,$0,$0,Unknown,United States
https://www.imdb.com/title/tt28607951/,Anora,"['Comedy', 'Drama', 'Romance']","A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to get the marriage annulled.","['Mikey Madison', 'Paul Weissman', 'Yura Borisov', 'Lindsey Normington', 'Emily Weider', 'Luna Sofía Miranda', 'Vincent Radwinsky', 'Brittney Rodriguez', 'Sophia Carnabuci', 'Mark Eydelshteyn', 'Anton Bitter', 'Ella Rubin', 'Ross Brodar', 'Zoë Vnak', 'Vlad Mamai', 'Maria Tichinskaya', 'Ivy Wolk', 'Karren Karagulian']","['English', 'Russian', 'Armenian']","Anora, a young sex worker from Brooklyn, gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as the parents set out for New York to get the marriage annulled.","['Cre Film', 'FilmNation Entertainment']",2024-11-08,Love is a hustle.,7.7,96K,$6.0M,$34.6M,139,United States
